Group,Best Category
Mississippi_Sheiks,American_blues
Mithril_(band),Celtic
Mixed_Company_of_Yale,cappella
Modena_City_Ramblers,Celtic
Modey_Lemon,American_blues_rock
Moloko,Trip_hop
Monk_&_Canatella,Trip_hop
Monkey_Puzzle_(band),cappella
Mono_(Japanese_band),Japanese_instrumental
Mono_(UK_band),Trip_hop
Morcheeba,Trip_hop
Moreland_and_Arbuckle,American_blues
Moriarty_(band),American_blues_rock
Mother_Earth_(American_band),American_blues_rock
Mother_Superior_(band),American_blues_rock
Mr._Meeble,Trip_hop
Mr_Russia,American_blues_rock
Mulebone,American_blues
Mutant_Press,American_blues_rock
Nashville_String_Machine,American_instrumental
Nero_and_the_Gladiators,British_instrumental
New_Celeste,Celtic
New_West_Guitar_Group,American_blues_rock
Night_Ark,American_instrumental
Night_Horse,American_blues_rock
Nisennenmondai,Japanese_instrumental
Niteworks,Celtic
No_Te_Va_Gustar,Latin
North_Mississippi_Allstars,American_blues_rock
North_Sea_Radio_Orchestra,British_instrumental
Norwood_Colonial_Boys_Fife_&_Drum_Corps,American_instrumental
OHMphrey,American_instrumental
OXES,American_blues_rock
Oblivians,American_blues_rock
Odetta_&_Larry,American_blues
Off_Kilter_(band),Celtic
Omar_&_the_Howlers,American_blues
One_Act_Play_(band),American_blues_rock
Oregon_Mandolin_Orchestra,American_instrumental
Orion_String_Quartet,American_instrumental
Orquestra_Mahatma,American_instrumental
Orthodox_Celts,Celtic
Ozric_Tentacles,American_blues_rock
P18_(band),Electronic
Pandemonio,Celtic
Paris_By_Air_(band),Latin
Partibrejkers,American_blues_rock
Pele_(American_band),American_instrumental
Pelican_(band),American_instrumental
Pell_Mell_(band),American_blues_rock
Peter_Jay_and_the_Jaywalkers,British_instrumental
Phantom_309_(band),American_blues_rock
Physics_(band),American_blues_rock
Piñata_Protest,American_blues_rock
Points_North,American_blues_rock
Pop_music,American_blues_rock
Pornosonic,American_instrumental
Portsmouth_Sinfonia,British_instrumental
Pray_for_Rain_(band),American_blues_rock
Prydein_(band),Celtic
Pueblo_Criminal,Latin
Qristina_&_Quinn_Bachand,Canadian_Celtic
Quetzal_(band),Latin
Quilapayún,Latin
Quinta_do_Bill,Celtic
R._Crumb_&_His_Cheap_Suit_Serenaders,American_blues
Railroad_Jerk,American_blues_rock
Rain_(Japanese_band),Japanese_instrumental
Rapalje,Celtic
Rawlins_Cross,Celtic
Red_Priest,British_instrumental
Red_Sparowes,American_instrumental
Regressive_Aid,American_instrumental
Reigning_Sound,American_blues_rock
Reignwolf,American_blues_rock
Relativity_(band),Celtic
Rockford_Kabine,Trip_hop
Rohrersville_Cornet_Band,American_instrumental
Roomful_of_Blues,American_blues
Root_Doctor,___NONE___
Rothwell_Temperance_Band,British_instrumental
Rova_Saxophone_Quartet,American_instrumental
Roving_Crows,Celtic
Royal_Southern_Brotherhood,American_blues_rock
Rumah_Sakit,American_blues_rock
Runa_(band),Celtic
Runrig,Celtic
Ryan's_Fancy,Celtic
S.E.M._Ensemble,American_instrumental
S.S.T._Band,Japanese_instrumental
Saffire_–_The_Uppity_Blues_Women,Punk_blues
San_Remo_Golden_Strings,American_instrumental
Santana_(band),Latin
Santo_&_Johnny,American_instrumental
Saor_Patrol,Celtic
Satan_and_Adam,American_blues
Scartaglen_(Celtic_group),Celtic
Screaming_Females,American_blues_rock
Sean_Altman,cappella
Secret_Garden_(duo),Celtic
Sequal_(band),Latin
Seven_Nations_(band),Celtic
Shawn_Holt_&_the_Teardrops,American_blues
Shilpa_Ray,American_blues_rock
Siegel–Schwall_Band,American_blues
Sister_Double_Happiness,American_blues_rock
Sky_(band),American_blues_rock
Slainte_Mhath,Celtic
Solas_(group),Celtic
Solas_(liturgical_group),Celtic
Soledad_Brothers_(band),American_blues_rock
Sonora_Borinquen,Latin
Sons_of_Alpha_Centauri,British_instrumental
Soulganic,Latin
Southern_Avenue_(band),American_blues
Spencer_Dickinson,American_blues_rock
Spirit_of_the_West,Canadian_Celtic
Stonecircle,Celtic
Supermerka2,Latin
Swåp,Celtic
Téada,Celtic
Tadhg_Cooke,Celtic
Tarbox_Ramblers,American_blues
Tav_Falco's_Panther_Burns,American_blues_rock
Tedeschi_Trucks_Band,American_blues_rock
Tempest_(band),Celtic
TenTemPiés,Latin
Terra_(band),American_blues_rock
Tex_&_the_Horseheads,American_blues_rock
The_"5"_Royales,American_blues_rock
The_Acappella_Swingers,cappella
The_Accents,American_blues
The_Acid,Electronic
The_All-Girl_Boys_Choir,American_blues_rock
The_Alley_Cats_(doo-wop_group),cappella
The_Alleycats_(University_of_St_Andrews),cappella
The_Allman_Brothers_Band,American_blues_rock
The_American_Dollar_(band),American_instrumental
The_Andy_T_Band,American_blues
The_Aquatones,Doo-wop
The_Aristocrats_(band),American_blues_rock
The_Atomica_Project,Trip_hop
The_Australian_Voices,cappella
The_Baby_Namboos,Trip_hop
The_Bangerz,Trip_hop
The_Barberettes,cappella
The_Belmonts,American_blues_rock
The_Beyman_Bros,American_instrumental
